time,cpu,mem,diskRand,diskSeq
1731577957,2585.74,13411.93,367449.19,399817.98
1731579757,2581.76,13426.04,366685.12,404181.49
1731581557,2580.02,13430.96,361535.46,400967.68
1731583357,2581.21,13427.44,363975.92,402112.60
1731585157,2579.98,13399.17,365271.62,399038.65
1731586957,2579.99,13418.79,364868.90,399642.62
1731588757,2579.79,13420.56,363067.31,395525.03
1731590557,2578.07,13437.18,364630.33,398092.44
1731592357,2584.75,13426.83,361754.80,398287.24
1731594157,2581.08,13424.52,366495.96,402763.71
1731595957,2582.40,13425.02,358725.82,394195.36
1731597757,2583.84,13382.40,365114.71,401703.28
1731599557,2583.58,13424.98,352526.67,394882.49
1731601357,2585.05,13415.68,365178.83,401938.57
1731603157,2582.88,13423.42,358023.93,386895.61
1731604957,2584.55,13423.51,366108.20,394441.16
1731606757,2579.62,13426.86,362081.13,395973.10
1731608557,2581.54,13423.25,354768.01,403209.22
1731610357,2583.36,13427.55,357681.25,394637.88
1731612157,2581.53,13424.81,365045.26,403399.16
1731613957,2564.58,13402.07,360235.38,392844.29
1731615757,2582.75,13414.72,356392.75,398614.40
1731617557,2585.64,13416.17,358505.73,391274.15
1731619357,2581.10,13426.61,364221.64,400081.07
1731621157,2581.14,13403.49,358990.72,391827.30
1731622957,2582.67,13419.13,361586.26,377317.70
1731624757,2576.23,13434.43,359708.62,372704.02
1731626557,2583.57,13435.68,362539.98,388638.25
1731628357,2568.35,13324.04,358756.23,390179.55
1731630157,2582.50,13433.18,356382.63,397476.85
1731631957,2584.44,13428.68,358324.66,393215.20
1731633757,2580.76,13424.33,363758.27,379784.59
1731635557,2580.56,13353.33,362560.64,376876.62
1731637357,2584.46,13420.75,360639.16,393381.46
1731639157,2584.61,13431.34,357691.90,387718.01
1731640957,2584.67,13416.99,361397.17,394566.61
1731642757,2572.53,13291.34,342884.86,380758.20
1731644557,2583.62,13228.56,359983.18,377518.82
1731646357,2585.79,13362.10,367838.44,401208.82
1731648157,2588.12,13408.12,370329.85,405004.07
1731649957,2590.44,13454.15,372821.25,408251.32
1731651757,2590.24,13454.14,373295.11,409933.30
1731653557,2590.03,13454.13,373768.96,411585.28
1731655357,2590.26,13446.18,373352.31,408457.20
1731657157,2590.48,13438.23,372935.65,405329.12
1731658957,2587.79,13444.33,373382.20,408194.68
1731660757,2585.09,13450.43,373828.75,411060.25
1731662557,2587.20,13452.80,372965.68,409458.43
