time,cpu,mem,diskRand,diskSeq
1731578108,771.58,1059.22,65863.33,76152.83
1731579908,785.60,1050.40,65279.34,74201.05
1731581708,762.68,1016.67,69336.37,77833.15
1731583508,758.37,1068.91,69233.17,78076.95
1731585308,773.26,1068.22,67818.32,75825.28
1731587108,764.51,1069.96,63592.59,77234.56
1731588908,747.59,1027.94,67275.95,75569.45
1731590708,762.63,1068.47,68671.67,71912.63
1731592508,748.73,978.56,62635.36,76342.87
1731594308,773.80,1062.10,68788.08,76051.72
1731596108,765.20,1054.84,68221.29,78307.87
1731597908,768.87,1052.30,68972.63,76629.39
1731599708,756.62,1065.34,66612.47,75658.87
1731601508,767.14,913.20,63044.39,75126.73
1731603308,764.95,1051.73,61882.44,76310.87
1731605108,744.36,1038.50,66693.82,75056.76
1731606908,770.75,1061.73,63955.55,76574.08
1731608708,769.54,1060.46,65660.44,72767.56
1731610508,757.48,963.77,68078.69,75910.48
1731612308,748.20,1043.58,65919.33,75704.45
1731614108,764.25,1051.49,65104.15,74601.71
1731615908,759.63,1047.74,61369.17,78930.46
1731617708,752.23,1051.71,68014.87,77121.67
1731619508,770.52,1067.74,68823.88,76141.26
1731621308,749.05,1052.33,64548.29,73185.29
1731623108,772.35,1068.39,64795.55,77392.39
1731624908,772.27,1068.51,62582.51,78002.62
1731626708,773.82,1064.76,69256.09,74595.21
1731628508,752.80,1032.27,67207.98,75515.05
1731630308,753.15,1038.00,64742.66,75121.99
1731632108,764.88,1045.43,67336.55,76683.45
1731633908,766.49,1034.22,64158.89,77154.39
1731635708,776.79,1065.68,66182.31,74756.05
1731637508,769.30,1026.81,64487.99,77502.24
1731639308,765.23,1007.14,63447.24,76446.23
1731641108,749.74,987.06,64147.98,74443.69
1731642908,738.28,1035.50,61457.59,76265.11
1731644708,803.55,1060.29,68009.10,78222.20
1731646508,785.61,1035.55,67906.04,76255.73
1731648308,763.91,1036.82,63279.04,72923.35
1731650108,770.77,1033.72,66499.44,75841.09
1731651908,777.46,1042.33,68259.87,77987.57
1731653708,752.51,1014.28,65094.73,74339.94
1731655508,740.94,1019.09,61983.67,72114.02
1731657308,808.29,1063.56,69012.99,78501.39
1731659108,790.19,1041.52,67543.12,76895.67
1731660908,762.22,1027.13,63201.75,73504.14
1731662708,773.33,1032.58,66078.42,75937.33
