time,cpu,mem,diskRand,diskSeq
1731577752,2814.95,14339.55,406477.89,459679.84
1731579552,2836.44,14444.64,414300.83,470901.53
1731581352,2775.37,14593.59,413833.45,390372.17
1731583152,2754.53,9012.89,361322.21,381464.95
1731584952,2745.68,12779.12,355259.21,385389.46
1731586752,2791.07,13794.23,345608.22,379264.00
1731588552,2656.03,9502.12,348425.42,469024.29
1731590352,2712.88,9330.43,349565.27,382345.10
1731592152,2727.21,9279.92,344364.48,374377.71
1731593952,2741.44,9253.06,389036.32,455699.65
1731595752,2845.76,14640.95,340755.98,385439.14
1731597552,2802.30,12828.33,379647.59,417624.87
1731599352,2739.81,9481.82,349622.82,462011.74
1731601152,2760.91,14550.27,418684.69,445079.56
1731602952,2801.07,14810.70,348868.49,444808.76
1731604752,2803.71,14739.86,419683.06,455250.73
1731606552,2863.70,14871.27,105046.92,447023.10
1731608352,2807.86,14688.66,413198.58,441615.99
1731610152,2834.89,14789.05,419048.12,447687.04
1731611952,2854.33,14676.29,411365.15,434894.02
1731613752,2797.19,14765.53,416594.79,440623.12
1731615552,2846.50,14897.98,412341.83,438732.00
1731617352,2814.47,14753.96,421485.39,453266.83
1731619152,2863.29,14857.45,413833.45,445324.08
1731620952,2807.74,14767.49,404461.02,420404.86
1731622752,2873.64,15064.18,417839.07,442193.44
1731624552,2819.06,14705.61,415404.03,447900.00
1731626352,2841.58,14813.61,403355.14,433410.91
1731628152,2779.12,14731.04,404251.81,425629.99
1731629952,2844.18,14803.25,415294.55,442996.01
1731631752,2837.75,14754.18,410056.24,440021.90
1731633552,2809.45,14264.37,409712.58,443201.23
1731635352,2811.73,14795.21,401976.70,433018.83
1731637152,2842.70,14887.28,405612.27,436121.45
1731638952,2839.94,14651.96,412689.27,443093.15
1731640752,2842.93,14795.62,405713.48,426302.20
1731642552,2813.11,14829.62,404349.74,424817.37
1731644352,2853.42,14872.11,408106.48,437497.63
1731646152,2844.57,14781.86,405230.01,435880.86
1731647952,2782.58,14725.42,406874.06,430542.57
1731649752,2799.50,14682.14,411880.77,429099.96
1731651552,2870.99,14591.73,408639.43,445430.66
1731653352,2847.42,14761.98,413366.68,438519.62
1731655152,2883.59,14926.18,410688.53,436682.03
1731656952,2780.41,14594.02,408107.92,434569.89
1731658752,2858.68,14863.97,418806.58,452534.62
1731660552,2877.41,14969.52,408988.92,432071.59
1731662352,2837.00,14901.63,404119.49,433768.99
