time,cpu,mem,diskRand,diskSeq
1731577988,2493.50,12645.51,346949.05,396286.94
1731579788,2461.19,12490.75,346681.16,393931.41
1731581588,2496.46,12641.03,345819.39,393854.92
1731583388,2497.06,12650.42,345082.10,392179.94
1731585188,2493.65,12564.49,345520.26,392318.42
1731586988,2496.72,12635.99,347938.96,393661.28
1731588788,2495.50,12652.15,346209.49,393391.29
1731590588,2492.97,12646.13,346685.72,389358.97
1731592388,2496.83,12572.04,344717.86,393340.54
1731594188,2481.11,12642.97,340501.64,387827.75
1731595988,2490.13,12644.30,346580.62,391431.33
1731597788,2496.04,12647.83,345064.44,392324.71
1731599588,2492.36,12585.11,344310.58,393271.14
1731601388,2491.76,12606.31,344689.81,392872.05
1731603188,2492.32,12649.74,346393.03,391351.86
1731604988,2495.22,12646.28,346668.53,391411.73
1731606788,2492.59,12538.73,347025.32,388271.42
1731608588,2495.43,12562.00,346289.19,389440.95
1731610388,2495.91,12643.78,345634.51,390492.93
1731612188,2492.33,12652.51,345257.38,390293.66
1731613988,2494.68,12570.60,345178.88,389044.91
1731615788,2494.51,12643.30,345006.94,389684.15
1731617588,2495.94,12646.37,346120.90,389678.43
1731619388,2497.17,12643.14,345892.45,392697.53
1731621188,2495.03,12626.43,347238.86,392448.50
1731622988,2493.29,12653.23,345571.75,393161.26
1731624788,2489.46,12586.06,344714.06,392826.73
1731626588,2498.33,12644.56,343443.89,391579.67
1731628388,2497.67,12644.72,346610.42,392459.24
1731630188,2496.12,12620.52,345554.53,389762.93
1731631988,2493.71,12646.19,346260.72,393177.36
1731633788,2497.03,12649.89,344269.53,389376.41
1731635588,2493.46,12643.45,345970.58,391553.63
1731637388,2496.22,12647.62,345476.58,385953.99
1731639188,2475.29,12650.16,344593.59,391578.32
1731640988,2491.00,12629.87,345050.86,391937.89
1731642788,2494.82,12651.40,345422.25,392180.42
1731644588,2495.78,12646.09,346961.58,390994.80
1731646388,2497.54,12656.00,367205.35,391937.89
1731648188,2497.38,12606.16,346289.19,391579.67
1731649988,2497.24,12556.31,345178.88,391411.73
1731651788,2500.01,12622.68,347025.32,388271.42
1731653588,2502.66,12688.70,367228.75,403376.21
1731655388,2503.23,12682.52,367013.31,403096.00
1731657188,2503.62,12676.34,366797.87,402815.78
1731658988,2500.56,12660.15,367034.10,398541.55
1731660788,2497.50,12643.25,367187.26,394267.33
